Area,City,Restaurant,Price,Avg ratings,Total ratings,Food type,Address,Delivery time,Cluster
Koramangala,Bangalore,Tandoor Hut,300.0,4.4,100.0,"Biryani,Chinese,North Indian,South Indian",5Th Block,59.0,1
Koramangala,Bangalore,Tunday Kababi,300.0,4.1,100.0,"Mughlai,Lucknowi",5Th Block,56.0,1
Jogupalya,Bangalore,Kim Lee,650.0,4.4,100.0,Chinese,Double Road,50.00000000000001,0
Indiranagar,Bangalore,New Punjabi Hotel,250.0,3.8999999999999995,500.0,"North Indian,Punjabi,Tandoor,Chinese",80 Feet Road,57.0,1
Indiranagar,Bangalore,Nh8,350.0,4.0,50.0,"Rajasthani,Gujarati,North Indian,Snacks,Desserts,Beverages,Thalis,Chaat",80 Feet Road,63.0,1
Indiranagar,Bangalore,Treat,800.0,4.5,100.0,"Mughlai,North Indian",100 Feet Road,56.0,1
Indiranagar,Bangalore,Chinita Real Mexican Food,1000.0,4.5,500.0,"Mexican,Beverages,Salads",Double Road,53.0,0
Koramangala,Bangalore,Cupcake Noggins - Cakespastries And Desserts,150.0,4.3,100.0,"Desserts,British,Bakery,Pizzas,Snacks",4Th Block,57.0,0
Domlur,Bangalore,Tea Brew,350.0,4.1,100.0,"American,Italian,Beverages,Continental,Chinese,Pastas,Pizzas,Fast Food",Double Road,57.0,1
Koramangala,Bangalore,Bangaliana,300.0,4.0,500.0,Bengali,7Th Block,57.0,0
Koramangala,Bangalore,Bamey'S Restro Cafe,400.0,4.4,100.0,"Chinese,Thai,Nepalese",5Th Block,56.0,0
Cooke Town,Bangalore,Altaf'S Chillies Restaurants,250.0,4.3,500.0,"North Indian,Chinese",Cooke Town,55.0,0
Pulikeshi Nagar,Bangalore,Chichabas Taj,532.0,4.2,100.0,"Mughlai,North Indian,Biryani",Mm Road,53.99999999999999,0
Sivanchetti Gardens,Bangalore,Urban Solace,500.0,2.9,80.0,"American,Continental",Ulsoor Lake,48.0,1
Kodihalli,Bangalore,Kaati Zone Rolls & Wraps,150.0,4.3,100.0,"Fast Food,Beverages,Bengali,Biryani,Indian,North Indian,Snacks,Street Food",Domlur Layout,59.0,0
Koramangala,Bangalore,Aalishan Restaurant & Caterer,290.0,4.3,100.0,"Mughlai,North Indian",7Th Block,52.0,0
Domlur,Bangalore,Kerala Pavilion,300.0,4.1,100.0,"Kerala,Seafood",Domlur Layout,55.0,0
Indiranagar,Bangalore,Kitchen Of Joy,250.0,4.4,100.0,"Bengali,Fast Food,Chinese",Domlur,55.0,0
Jayanagar,Bangalore,Nagarjuna Chimney,800.0,4.2,1000.0,"Seafood,Andhra,Biryani,South Indian,Combo,Desserts,Beverages",3Rd Block,48.0,1
Film Nagar,Hyderabad,So. The Sky Kitchen,800.0,2.9,80.0,"Mughlai,North Indian,Chinese,Thai,Asian",Near Apollo Health City Gate,90.0,1
Indiranagar,Bangalore,Esplanade,1200.0,4.3,100.0,"Mughlai,Bengali",I Indirangar,53.99999999999999,0
Banashankari,Bangalore,Hotel New Karavali,250.0,3.8,100.0,"North Indian,Chinese,South Indian",Bsk 1St Stage,53.0,0
Masab Tank,Hyderabad,Dine Hill,400.0,4.1,500.0,"Arabian,Biryani,North Indian,Chinese",Ahmed Nagar,49.0,0
Banjara Hills,Hyderabad,Sarvi Restaurant,400.0,4.1,4999.999999999999,"Biryani,Tandoor,Chinese,Indian,Desserts,Kebabs,Mughlai",Road 11,56.0,1
Banjara Hills,Hyderabad,Sarvi Bakery,250.0,4.1,100.0,"Desserts,Fast Food,Bakery",Opposite Care Hospital Road 11 Banjara Hills,58.00000000000001,1
Andheri East,Mumbai,Kung Fu Panda,600.0,4.3,100.0,Chinese  Thai  Asian,Marol,58.00000000000001,0
Powai,Mumbai,Kosho,300.0,4.2,100.0,"Mughlai,North Indian,Chinese,Seafood,Italian",Chandivali,56.0,0
Punjagutta,Hyderabad,Chinese Pavilion,850.0,4.3,500.0,"Chinese,Seafood",Nagarjuna Circle,64.0,0
Banjara Hills,Hyderabad,Chef Inam'S Steak House,1200.0,4.2,100.0,"Steakhouse,American",Sri Ram Nagar Colony Banjara Hills,69.0,0
Indiranagar,Bangalore,Mamagoto,900.0000000000001,4.2,100.0,"Chinese,Asian,Pan-Asian,Thai,Oriental",Mamagoto,59.0,1
Powai,Mumbai,Hakka Express,300.0,4.0,100.0,"Chinese,Asian,Thai",Narayan Plaza,48.0,0
Indiranagar,Bangalore,The Brekkie Shop - All Day Menu,200.0,4.3,500.0,"British,Italian,Indian,Chinese,South Indian,North Indian,Desserts",1St Stage,57.0,1
Aundh,Pune,Juice Destination,200.0,4.2,500.0,"Thalis,North Indian,Punjabi,Beverages",Iti Road Aundh,60.0,0
Aundh,Pune,Hyderabadi Spice,400.0,4.2,1000.0,"Biryani,Mughlai,North Indian,Chinese",Parihar Chowk,58.00000000000001,0
Aundh,Pune,Cafe Peterdonuts,400.0,4.1,50.0,"Continental,Desserts",Gaikwad Nagar,71.0,0
Baner,Pune,Karolbaug,749.9999999999999,4.1,50.0,"Mughlai,North Indian,Chinese,Biryani",Sakal Nagar,72.0,0
Powai Area,Mumbai,The Punjabi'S Kitchen,500.0,4.4,500.0,North Indian,Guru Hargobindji Marg  Andheri East,65.0,1
Ramgopalpet,Hyderabad,Aangan - Yatri Nivas,500.0,4.1,100.0,North Indian  South Indian,S P Road,66.0,0
Kalasiguda,Hyderabad,Bluefox,800.0,4.2,1000.0,Biryani  North Indian  Chinese  Tandoor,Sd Road,68.0,0
Aundh,Pune,Taaareef,1100.0,4.4,100.0,"Mughlai,North Indian,Seafood,Biryani",Iti Road,67.0,1
Kalasiguda,Hyderabad,Flavours Of Taj Mahal Hotel,300.0,4.2,1000.0,North Indian  Chinese  Desserts  Continental  South Indian,Sd Road,57.0,0
Adarsh Nagar,Hyderabad,Ohri'S Eatmor,600.0,4.2,500.0,"Ice Cream,Beverages,Desserts,Chaat,Italian",New Mla Quarters,37.0,1
Adarsh Nagar,Hyderabad,Ohri'S Ming'S Court,500.0,4.0,1000.0,Chinese,New Mla Quarters,39.0,1
Himayatnagar,Hyderabad,Minerva Coffee Shop,500.0,4.3,1000.0,"South Indian,North Indian,Chinese",Himayath Nagar Road,30.0,1
Himayatnagar,Hyderabad,Bluefox,800.0,4.1,1000.0,"Biryani,North Indian,Chinese,Tandoor",Himayath Nagar Road,36.0,0
Ashok Nagar,Bangalore,Art Of Delight,250.0,4.6,100.0,"Ice Cream,Desserts,Beverages",Residency Road,34.0,0
Commercial Street,Bangalore,Khan Saheb Grills And Rolls,300.0,4.3,50.0,"Tandoor,Mughlai,North Indian,Kebabs",Kamaraj Road,39.0,0
Richmond Town,Bangalore,Fanoos,300.0,4.2,500.0,"Biryani,Tandoor,Kebabs,Barbecue,Fast Food",Hosur Road,33.0,0
Richmond Town,Bangalore,In Wok,500.0,4.3,100.0,Chinese,Richmond,44.0,0
Ashok Nagar,Bangalore,Lakeview Milkbar,450.00000000000006,4.1,100.0,"Desserts,Ice Cream,Bakery,Fast Food",Mg Road,30.999999999999996,0
Ashok Nagar,Bangalore,C Sharp Kitchen,300.0,2.9,80.0,"Chinese,Continental,Fast Food",Church Street,33.0,0
Ashok Nagar,Bangalore,Roomali,1000.0,4.4,100.0,"North Indian,Indian",Church Street,35.0,1
Ashok Nagar,Bangalore,Tadka Singh,300.0,4.2,100.0,"Punjabi,North Indian",Church Street,38.0,1
Ashok Nagar,Bangalore,Bheemas,550.0,4.3,100.0,Andhra,Church Street,30.999999999999996,0
Vasanth Nagar,Bangalore,Watson'S,450.00000000000006,2.9,80.0,Fast Food,1St Main Road,53.0,1
Andheri East,Mumbai,Sai Leela,500.0,4.2,20.0,"Mughlai,North Indian,Chinese,Seafood",Andheri East,63.0,1
Bhowanipore,Kolkata,Tandoori Darbar,500.0,4.4,100.0,"North Indian,Chinese,Tandoor,Biryani,Beverages,Desserts",Hazra Road,71.0,1
Ballygunge,Kolkata,Ballygunge Dhaba,500.0,4.3,500.0,"North Indian,Biryani,Chinese",Ballygunge,59.0,0
Gariahat,Kolkata,Tero Parbon,500.0,4.3,100.0,Bengali,Purna Das Road Hindustan Park,72.0,1
Ballygunge,Kolkata,Wise Owl The Coffee Shop,700.0,4.3,100.0,"Continental,American,Cafe",Purnadas Road,76.0,1
Gariahat,Kolkata,Aminia Restaurant- Golpark,500.0,4.3,1000.0,"Biryani,Mughlai,North Indian,Indian,Kebabs,Tandoor",Ballygunge Gardens,67.0,0
Gariahat,Kolkata,Bedouin - Sher E Bengal,500.0,2.9,80.0,"North Indian,Chinese,Bengali",Gariahat Road Gariahat,70.0,0
Ballygunge,Kolkata,Sharma Dhaba,300.0,4.2,1000.0,North Indian  Fast Food  Tandoor  Biryani  Kebabs  Snacks  Chinese,Ballygunge Circular Road  Ballygunge Maidan Camp  Ballygunge,53.99999999999999,1
Indiranagar,Bangalore,Kund Indian Barbeque,200.0,4.2,100.0,"Mughlai,North Indian,Biryani,Kebabs,Desserts",1St Stage,58.00000000000001,0
Bhowanipore,Kolkata,Jai Hind Dhaba,500.0,4.3,1000.0,"North Indian,Indian,Tandoor,Kebabs,Punjabi,Home Food,Chinese",Sarat Bose Road Paddapukur,60.0,0
Kalighat,Kolkata,Tamarind,1100.0,4.4,100.0,"North Indian,South Indian",Sarat Bose Road Desapriya Park,73.0,1
Pulikeshi Nagar,Bangalore,Pathaan Sir,300.0,4.2,100.0,Fast Food,Coles Road,47.0,1
Indiranagar,Bangalore,Chaipatty,200.0,3.8999999999999995,50.0,"Fast Food,Beverages,Pizzas,Street Food,Snacks",Hanumanthanagar,56.0,0
Powai Area,Mumbai,5 Spice,1100.0,4.2,500.0,"Chinese,Desserts",Powai Area,53.0,0
Punjagutta,Hyderabad,Srikanya,250.0,4.1,1000.0,"Andhra,Seafood",Punjagutta Road,56.0,1
Sion,Mumbai,Cafe Vrindavan,500.0,4.3,100.0,"North Indian,Chinese,South Indian",Sion Station,42.0,0
Mumbai,Mumbai,Ramdeo,450.00000000000006,4.0,500.0,"North Indian,Chinese,South Indian,Fast Food",Sion Station,44.0,1
Mumbai,Mumbai,Shabari,400.0,3.8999999999999995,100.0,"North Indian,South Indian,Fast Food",Sion West,48.0,1
Rajajinagar,Bangalore,The Purple Pan,400.0,4.1,1000.0,"Mughlai,North Indian,Chinese,Arabian",Dr. Rajkumar Road,56.0,1
Pulikeshi Nagar,Bangalore,Moriz Nano,500.0,2.9,80.0,"North Indian,Chinese,Biryani,Seafood",Lakeview,50.00000000000001,1
Ashok Nagar,Bangalore,Truffles,450.00000000000006,4.5,1000.0,"American,Desserts,Continental,Italian",St. Marks Road,29.000000000000004,1
Golpark,Kolkata,The Grub Club,400.0,4.3,1000.0,"Italian,Chinese,Thai",Golpark,69.0,1
Koramangala,Bangalore,Lazeez,500.0,4.2,500.0,"North Indian,Mughlai",5Th Block,55.0,0
Shivajinagar,Pune,Marrakesh,300.0,4.0,100.0,"Lebanese,North Indian,Afghani,Mughlai,Combo,Biryani,Kebabs,Mediterranean,Arabian,Middle Eastern,Desserts",Fc Road,45.99999999999999,1
Banjara Hills,Hyderabad,Keshav Reddy Sweets,150.0,4.2,500.0,"Sweets,Bakery,Desserts,Fast Food,Street Food,Chaat",Road No 2,65.0,0
Gariahat,Kolkata,Kimli,600.0,4.4,100.0,"Chinese,Seafood",Purnadas Road,69.0,0
Koregaon Park,Pune,Prem'S,1200.0,4.2,100.0,"North Indian,Chinese,Continental,Asian,Desserts,Beverages",Koregaon Park,53.0,1
Deccan Gymkhana,Pune,The Chocolate Room,450.00000000000006,2.9,80.0,"Desserts,Continental,Fast Food",Fc Road,39.0,1
Koregaon Park,Pune,Uncle'S Chinese,350.0,4.1,1000.0,"Chinese,Thai,Malaysian",Koregaon Park,55.0,1
Jayanagar,Bangalore,House Of Kebab'S,500.0,3.7,50.0,"North Indian,Chinese,Biryani",Rv Road,51.0,0
Karkhana,Hyderabad,Oh So Stoned,300.0,3.8999999999999995,100.0,Ice Cream  Desserts,Vikrampuri Colony,68.0,1
Kothrud,Pune,Zest Cafe Bar,250.0,4.2,20.0,"Chinese,Fast Food",Ideal Chambers  Kothrud,57.0,1
Koregaon Park,Pune,Seven - Shawarma And Burgers,250.0,3.8999999999999995,100.0,"Lebanese,Fast Food,Snacks,Arabian",Koregaon Park,51.0,1
Kothrud,Pune,Rushhrs,250.0,4.3,100.0,"Salads,Healthy Food",Karishma Housing Society,45.99999999999999,1
Erandwane,Pune,Aroma'S Hyderabad House - Karve Road,400.0,4.2,500.0,"Biryani,Mughlai,North Indian,Chinese",Karve Road,35.0,0
Koti,Hyderabad,Grand Hotel,300.0,4.1,9999.999999999998,"Biryani,Tandoor,Chinese,Indian,Kebabs,Desserts",Abids Road,24.0,0
Dilsukhnagar,Hyderabad,Tipsy Topsy,250.0,3.7,500.0,Chinese  Italian  Desserts  Bakery  Fast Food,Dilsukhnagar Main Road,39.0,1
Nagole,Hyderabad,Hotel Swagath Grand - Dhanturi Group Of Hotels,300.0,3.8999999999999995,1000.0,"Biryani,Chinese,South Indian,North Indian,Tandoor",Alkapuri X Roads,67.0,0
Chandrapuri Colony,Hyderabad,Hotel Sitara Grand - Dhanturi Group Of Hotels,300.0,3.8,1000.0,"Biryani,Chinese,South Indian,North Indian,Tandoor",L B Nagar,70.0,0
Kothapet,Hyderabad,Nakshatra Inn Multi Cuisine Restaurant,300.0,3.8,100.0,"Biryani,Chinese,North Indian,South Indian",Lakshmi Nagar Colony,52.0,1
Narayanguda,Hyderabad,Mehfil,300.0,3.8999999999999995,9999.999999999998,"Biryani,Tandoor,Chinese,Indian,Kebabs,Desserts",Narayanguda,25.000000000000004,1
Fc Road,Pune,The Burger Barn Cafe,300.0,4.1,100.0,"American,Fast Food",Ghole Road,45.99999999999999,1
Park Street Area,Kolkata,Sip & Sandwich,300.0,2.9,80.0,Pastas  Beverages  Fast Food,Park Street,60.0,1
Beniapukur,Kolkata,Shiraz Golden Restaurant,500.0,4.4,1000.0,"Biryani,Mughlai,North Indian,Indian,Kebabs,Tandoor",Park Street,52.0,1
Park Street Area,Kolkata,Mocambo,1499.9999999999998,4.4,1000.0,"North Indian,Biryani,Continental,Italian",Park Street,61.99999999999999,1
Bidhannagar,Kolkata,The Scoop,400.0,4.1,100.0,"North Indian,Chinese,South Indian,Fast Food",Sector 1,70.0,1
Bidhannagar,Kolkata,Kaafila,1600.0,3.8999999999999995,50.0,"Mughlai,North Indian",Sector 1,71.0,0
Bidhannagar,Kolkata,Ranjan'S,200.0,4.2,100.0,"North Indian,Chinese",Sector 3,56.0,1
Bidhannagar,Kolkata,Balle Balle Dhaba,500.0,4.1,1000.0,"North Indian,Punjabi,Biryani",Sector 1,59.0,0
Bidhannagar,Kolkata,Le Coffee Creme,600.0,3.8999999999999995,50.0,"Combo,Chinese,Continental,Italian,Fast Food,Mexican",Sector 1,68.0,0
Himayatnagar,Hyderabad,Crystal Restaurant,350.0,3.8999999999999995,1000.0,"Biryani,North Indian,Chinese",Rtc X Roads,34.0,0
New Nallakunta,Hyderabad,Bawarchi,300.0,3.8999999999999995,9999.999999999998,"Biryani,Tandoor,Chinese,Indian,Desserts,Kebabs,Mughlai",Rtc X Roads,26.999999999999996,0
Sivanchetti Gardens,Bangalore,The Grill House - Steaks & Sizzlers,1100.0,4.2,100.0,"American,Steakhouse,Italian,Mexican,Continental,Mediterranean,Desserts,Grill,Salads,Pastas,Pizzas,Lebanese",Kensington Point,52.0,1
